iter	posterior	log.lik	prior.mean	prior.var	mean.bm.sig.	mean.bm.the.	var.ou.sv.	var.ou.sig.	var.ou.the.	Anolis_ahli_m	Anolis_allogus_m	Anolis_armouri_m	Anolis_cybotes_m	Anolis_homolechis_m	Anolis_jubar_m	Anolis_longitibialis_m	Anolis_marcanoi_m	Anolis_mestrei_m	Anolis_ophiolepis_m	Anolis_quadriocellifer_m	Anolis_rubribarbus_m	Anolis_sagrei_m	Anolis_shrevei_m	Anolis_strahmi_m	Anolis_whitemani_m	Anolis_ahli_v	Anolis_allogus_v	Anolis_armouri_v	Anolis_cybotes_v	Anolis_homolechis_v	Anolis_jubar_v	Anolis_longitibialis_v	Anolis_marcanoi_v	Anolis_mestrei_v	Anolis_ophiolepis_v	Anolis_quadriocellifer_v	Anolis_rubribarbus_v	Anolis_sagrei_v	Anolis_shrevei_v	Anolis_strahmi_v	Anolis_whitemani_v	acc	temperature 
10	-3448.61652401695	-3362.51199541081	-59.3411666906274	-13.9708980188027	0.547539968509227	52.8683788845689	0.343408259782438	1.7141142092878	3.06195547124592	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.7126923076923	45.031	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.3254733974359	14.0302925	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.4	1 
20	-3448.88212737217	-3362.94162208847	-59.2127980831546	-13.9352433038378	0.547539968509227	54.403980379726	0.343408259782438	1.7141142092878	3.15264556942122	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.7126923076923	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.3254733974359	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.35	1 
30	-3449.260583723	-3362.94162208847	-59.2127980831546	-14.3216324363462	0.547539968509227	54.403980379726	0.248344928950352	1.56052627780249	3.15264556942122	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.7126923076923	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.3254733974359	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.3	1 
40	-3450.66764758851	-3363.00642245411	-59.6072175498443	-15.0340127753645	0.547539968509227	54.403980379726	0.248344928950352	3.0773710216798	3.15264556942122	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.4694117232143	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	4.74668782943187	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.275	1 
50	-3445.96455617314	-3363.00642245411	-54.8927429274508	-15.0340127753645	0.783842021889205	52.8697841969237	0.248344928950352	3.0773710216798	3.15264556942122	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	34.4694117232143	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	4.74668782943187	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.26	1 
60	-3444.68247298882	-3364.54077758335	-53.3697492034596	-13.7570333047352	0.783842021889205	52.8697841969237	0.384227714018585	3.0773710216798	3.16092539685197	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.8804890088505	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.73144801615733	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.3	1 
70	-3443.26980404281	-3364.54077758335	-51.0307947549797	-14.552156241123	1.89640322503774	52.8697841969237	0.384227714018585	3.05945694822043	2.87001352837171	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.134197761194	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.8804890088505	46.4845316884079	54.1281025284109	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	20.187161807186	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	5.73144801615733	16.6196984579346	29.1990243595537	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.328571428571429	1 
80	-3447.83219360897	-3365.15894154727	-51.0822686489619	-18.1446891331277	1.89640322503774	52.8697841969237	0.416190286280669	4.79300178353341	2.64246617607592	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.4865459335763	46.4845316884079	53.2457036695359	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	3.981955997605	16.6196984579346	22.8324488707448	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.375	1 
90	-3447.21589604213	-3365.15894154727	-51.3066039491083	-17.2992335382394	1.89640322503774	50.1484696104437	0.341701687944606	4.79300178353341	2.73390698162048	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.4865459335763	46.4845316884079	53.2457036695359	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	3.981955997605	16.6196984579346	22.8324488707448	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.366666666666667	1 
100	-3445.61651811885	-3365.15894154727	-51.9593354513818	-14.9944504487134	1.89640322503774	46.8920698250011	0.341701687944606	5.08604157821676	3.0830584881112	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.4865459335763	46.4845316884079	53.2457036695359	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	3.981955997605	16.6196984579346	22.8324488707448	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.38	1 
110	-3445.31081470431	-3364.30755766751	-52.4175872577499	-15.0818791075706	1.89640322503774	46.8920698250011	0.341701687944606	5.08604157821676	3.09822534062924	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	55.05875	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.175	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.7027753205128	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	10.58635625	55.2405495833333	24.5111785714286	0.363636363636364	1 
120	-3445.29067246149	-3364.7764820358	-51.7252928191722	-15.2851069350369	1.89640322503774	50.3560140938999	0.341701687944606	5.08604157821676	3.09822534062924	49.8127777777778	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.247915186882	65.296875	56.3357142857143	27.2812694444445	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	9.74130291829763	55.2405495833333	24.5111785714286	0.358333333333333	1 
130	-3446.47844246675	-3365.43898682689	-51.8286934340959	-15.7069715342867	1.89640322503774	52.1324918991619	0.341701687944606	5.08604157821676	3.09822534062924	48.368063156307	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.247915186882	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	9.74130291829763	55.2405495833333	24.5111785714286	0.353846153846154	1 
140	-3446.47844246675	-3365.43898682689	-51.8286934340959	-15.7069715342867	1.89640322503774	52.1324918991619	0.341701687944606	5.08604157821676	3.09822534062924	48.368063156307	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.247915186882	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	9.74130291829763	55.2405495833333	24.5111785714286	0.328571428571429	1 
150	-3446.4512161433	-3365.43898682689	-51.801467110642	-15.7069715342867	1.89640322503774	52.7392656369889	0.341701687944606	5.08604157821676	3.09822534062924	48.368063156307	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.247915186882	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	9.74130291829763	55.2405495833333	24.5111785714286	0.32	1 
160	-3448.90272497025	-3366.16317041384	-52.175870833142	-17.4057151526586	2.58288841966973	52.7392656369889	0.341701687944606	2.46219776531642	3.28244166404349	48.368063156307	52.6209375	56.9903448275862	58.7746	50.1646809178451	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	22.3950129697136	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.33125	1 
170	-3448.53935091409	-3365.52674649389	-52.1801505927253	-17.7943044161662	2.58288841966973	52.7392656369889	0.315721309110216	1.64914435979268	3.28244166404349	48.368063156307	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.329411764705882	1 
180	-3451.29657571413	-3365.52674649389	-52.3042261590695	-20.1677041713097	2.58288841966973	56.6566370034563	0.315721309110216	3.29378162866644	3.42808002919875	48.368063156307	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.333333333333333	1 
190	-3451.16162755052	-3365.52674649389	-52.169277995464	-20.1677041713097	2.58288841966973	53.6011763083316	0.315721309110216	3.29378162866644	3.42808002919875	48.368063156307	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.4106256956659	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.326315789473684	1 
200	-3447.25149345986	-3365.3610646068	-52.0576921208069	-16.5486220984273	2.58288841966973	53.6011763083316	0.315721309110216	3.21234237147015	3.14376170545612	49.1032800502359	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.7665764674556	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.33	1 
210	-3447.11772117423	-3365.3610646068	-52.0576921208069	-16.414849812795	2.58288841966973	53.6011763083316	0.315721309110216	3.21234237147015	3.1161856832665	49.1032800502359	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.7665764674556	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.323809523809524	1 
220	-3447.21407291727	-3365.3610646068	-52.0576921208069	-16.2449906253449	2.58288841966973	53.6011763083316	0.315721309110216	4.73766950795185	3.03110395100292	49.1032800502359	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4845316884079	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.7665764674556	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	16.6196984579346	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.318181818181818	1 
230	-3447.64569363208	-3365.45886836371	-52.2328981873761	-16.4036015166691	2.58288841966973	50.1766606307725	0.315721309110216	4.73766950795185	3.14212474655955	49.1032800502359	52.6209375	56.9903448275862	58.7746	50.2557282019508	49.5834444444444	68.1144230769231	54.3944740509908	47.1576923076923	35.4865459335763	46.4321994814326	55.7575217689625	50.1287378640777	51.932044302788	65.296875	56.3357142857143	39.7665764674556	31.7794075328947	25.8149677339901	48.70231890301	19.796487952449	12.386505479798	15.9301566538461	18.2427224605127	40.4498150641026	3.981955997605	19.8277797675091	18.1122070166283	19.6150847407057	8.32488609008224	55.2405495833333	24.5111785714286	0.317391304347826	1 
